provider,acronym,name,web_status,describe_score,define_score,define_bp_score,connection_score,flat_score,core_average,core_average_2dp,core_average_bp,core_average_bp_2dp,define_bp_source,weakest_metric,bp_categories,bp_language,submission_id,bp_version,bp_released,bp_url
bioportal,TADS,Tick Gross Anatomy Ontology,scored,9.98,6.91,6.91,8.18,10.0,8.7675,8.77,8.7675,8.77,"same_as_strict (1.0 result, not re-checked)",Define,Anatomy;Animal_Gross_Anatomy;Gross_Anatomy,OBO,17,1.21,2015-08-20T18:08:43.000-07:00,https://bioportal.bioontology.org/ontologies/TADS
bioportal,TAO,Teleost Anatomy Ontology,scored,10.0,3.92,3.92,6.93,10.0,7.7125,7.71,7.7125,7.71,"same_as_strict (1.0 result, not re-checked)",Define,Anatomy;Animal_Gross_Anatomy;Fish_Anatomy;Gross_Anatomy,OBO,135,2012-08-10,2015-08-20T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TAO
bioportal,TAON,Therapeutic Antibody Ontology,scored,9.98,0.03,0.03,3.76,10.0,5.9425,5.94,5.9425,5.94,"same_as_strict (1.0 result, not re-checked)",Define,Gene_Product;Immunology;Protein,OWL,2,1.1,2025-02-10T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TAON
bioportal,TARA,TARA Acupoints Ontology,scored,9.99,4.67,4.67,7.24,10.0,7.975,7.98,7.975,7.98,"same_as_strict (1.0 result, not re-checked)",Define,Anatomy;Biomedical_Resources;Vocabularies,OWL,8,1.7.2 - Inferred Ontology,2026-09-09T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TARA
bioportal,TAXRANK,Taxonomic Rank Vocabulary,scored,9.87,0.24,0.24,0.0,7.0,4.2775,4.28,4.2775,4.28,"same_as_strict (1.0 result, not re-checked)",Connection,,OBO,12,unknown,2025-09-24T18:17:10.000-07:00,https://bioportal.bioontology.org/ontologies/TAXRANK
bioportal,TCDO,Traditional Chinese Drug Ontology,scored,9.99,0.36,0.36,4.08,10.0,6.1075,6.11,6.1075,6.11,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,3,0.05,2021-05-30T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TCDO
bioportal,TCO,Thyroid Cancer Ontology,scored,9.98,0.0,6.5,0.0,10.0,4.995,5.0,6.62,6.62,http://www.semanticweb.org/hx-jta/ontologies/thyroid_cancer_ontology#Definition [bioportal_definitionProperty + detected_by_name],Define,Health;Human,OWL,2,1.0,2020-07-02T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TCO
bioportal,TDWGSPEC,TDWG Specimen LSID Ontology,scored,6.47,0.68,0.68,0.0,4.0,2.7874999999999996,2.79,2.7874999999999996,2.79,"same_as_strict (1.0 result, not re-checked)",Connection,Taxonomic_Classification,OWL,1,0.3,2015-07-01T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TDWGSPEC
bioportal,TEDDY,Terminology for the Description of Dynamics,scored,9.94,6.75,6.75,6.71,10.0,8.35,8.35,8.35,8.35,"same_as_strict (1.0 result, not re-checked)",Connection,Other,OWL,11,rel-2014-04-24 (inferred),2014-04-25T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TEDDY
bioportal,TEMPO,TempO,scored,5.0,3.64,3.64,0.0,0.0,2.16,2.16,2.16,2.16,"same_as_strict (1.0 result, not re-checked)",Connection,Other,OWL,4,0.2,2022-05-26T05:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TEMPO
bioportal,TEO,Time Event Ontology,scored,10.0,4.81,4.81,4.1,10.0,7.227499999999999,7.23,7.227499999999999,7.23,"same_as_strict (1.0 result, not re-checked)",Connection,Other,OWL,4,1.0.8,2012-04-26T00:00:00.000-07:00,https://bioportal.bioontology.org/ontologies/TEO
bioportal,TEPHRAM4MEXAMPLE,Tephra M4M Example,scored,9.17,4.95,4.95,0.0,0.0,3.5300000000000002,3.53,3.5300000000000002,3.53,"same_as_strict (1.0 result, not re-checked)",Connection,Other,SKOS,1,0.1.1,2022-03-31T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TEPHRAM4MEXAMPLE
bioportal,TEST-M4M20-PAV,test-m4m20-subjects-pav,scored,8.0,2.4,2.4,0.0,0.0,2.6,2.6,2.6,2.6,"same_as_strict (1.0 result, not re-checked)",Connection,,SKOS,1,0.1.0,2022-06-08T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TEST-M4M20-PAV
bioportal,TESTEX,test1,scored,10.0,0.0,0.0,0.0,9.0,4.75,4.75,4.75,4.75,"same_as_strict (1.0 result, not re-checked)",Define,Human,OWL,1,0.0.1,2021-04-21T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TESTEX
bioportal,TESTLEARN,testontologyforlearning,scored,6.67,0.0,0.0,0.0,4.0,2.6675,2.67,2.6675,2.67,"same_as_strict (1.0 result, not re-checked)",Define,,OWL,1,,2025-11-02T00:00:00.000+00:00,https://bioportal.bioontology.org/ontologies/TESTLEARN
