acronym,eval_status,eval_bytes,triple_count,entities,classes,individuals,bp_classes,sniffed_format,parse_format,eval_seconds,wall_seconds,parent_peak_rss_mb,gpu_peak_allocated_mb,define_device,define_defined,time_sniff,time_parse,time_identity,time_index,time_stats,time_describe,time_define,time_connection,time_flat,time_entities_table,time_total,time_write_outputs,time_define_bp,define_seconds_encode_labels,define_seconds_encode_definitions,download_seconds
PHARE,done,305645.0,2846.0,229.0,229.0,0.0,229.0,xml,xml,0.405,0.405,0.0,466.9,cuda,5.0,0.0,0.1,0.001,0.008,0.001,0.001,0.019,0.001,0.002,0.001,0.269,0.007,,0.009,0.008,0.241
PHASES,done,343263.0,2826.0,105.0,86.0,19.0,85.0,xml,xml,0.443,0.443,0.0,859.6,cuda,98.0,0.0,0.088,0.0,0.007,0.0,0.001,0.078,0.0,0.001,0.001,0.307,0.007,,0.012,0.064,0.269
PHENX,done,572294.0,4549.0,534.0,534.0,0.0,533.0,xml,xml,0.426,0.426,0.0,450.7,,0.0,0.0,0.165,0.001,0.013,0.001,0.002,0.001,0.0,0.002,0.002,0.319,0.008,,,,0.295
PHFUMIADO,done,3045638.0,33396.0,881.0,881.0,0.0,880.0,xml,xml,2.012,2.012,1720.6,983.7,cuda,869.0,0.0,1.123,0.003,0.243,0.001,0.005,0.273,0.017,0.017,0.004,1.87,0.02,,0.076,0.187,1.09
PHIPO,done,33377804.0,410629.0,10924.0,10729.0,195.0,10728.0,xml,xml,22.589,22.589,2307.9,1059.9,cuda,9918.0,0.0,13.153,0.0,2.076,0.02,0.068,5.0,0.174,0.196,0.047,22.123,0.186,,1.258,3.601,11.119
PHMAMMADO,done,3045642.0,33396.0,881.0,881.0,0.0,880.0,xml,xml,2.076,2.076,1720.6,983.7,cuda,869.0,0.0,1.131,0.002,0.262,0.001,0.006,0.28,0.017,0.017,0.004,1.923,0.021,,0.08,0.191,1.092
PHY,done,24218.0,188.0,6.0,6.0,0.0,5.0,xml,xml,0.3,0.3,0.0,450.7,,0.0,0.0,0.008,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.154,0.006,,,,0.225
PHYLONT,done,115139.0,936.0,150.0,148.0,2.0,148.0,xml,xml,0.301,0.301,0.0,455.9,cuda,5.0,0.0,0.029,0.001,0.003,0.0,0.0,0.018,0.0,0.001,0.001,0.179,0.006,,0.008,0.008,0.176
PICO,done,497742.0,4188.0,234.0,225.0,9.0,225.0,xml,xml,0.54,0.54,0.0,981.7,cuda,188.0,0.0,0.135,0.001,0.011,0.0,0.001,0.118,0.001,0.001,0.001,0.405,0.01,,0.02,0.094,0.259
PIERO,done,63821.0,568.0,36.0,36.0,0.0,36.0,xml,xml,0.253,0.253,0.0,450.7,,0.0,0.0,0.02,0.001,0.002,0.0,0.0,0.0,0.0,0.001,0.001,0.147,0.005,,,,0.145
PINO,done,121393.0,557.0,268.0,268.0,0.0,267.0,xml,xml,0.302,0.302,0.0,456.9,cuda,7.0,0.0,0.021,0.001,0.002,0.0,0.001,0.019,0.0,0.001,0.001,0.181,0.007,,0.009,0.008,0.179
PLANA,done,2826230.0,31963.0,894.0,876.0,18.0,876.0,xml,xml,2.012,2.012,1714.4,983.7,cuda,875.0,0.001,1.018,0.0,0.239,0.002,0.005,0.359,0.014,0.014,0.004,1.851,0.023,,0.077,0.27,1.084
